source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,19,10079,lorsa,0,19,4675,transcoder,1.1847854852676392,0.8241841197013855,-0.36060136556625366,0.0,-0.3043600466499596,"Node(id=1_4675_19, type=transcoder, layer=0, feature=4675, pos=19)",1
0,19,4675,transcoder,1,19,9035,transcoder,1.3196029663085938,0.46531441807746887,-0.8542885482311249,0.0,-0.6473830159846325,"Node(id=3_9035_19, type=transcoder, layer=1, feature=9035, pos=19)",1
0,19,4675,transcoder,2,19,15512,transcoder,0.6515789031982422,0.3224133253097534,-0.32916557788848877,0.0,-0.5051814542686943,"Node(id=5_15512_19, type=transcoder, layer=2, feature=15512, pos=19)",1
0,19,4675,transcoder,4,19,8194,transcoder,1.4070217609405518,0.9176051616668701,-0.48941659927368164,0.0,-0.34783868512916344,"Node(id=9_8194_19, type=transcoder, layer=4, feature=8194, pos=19)",1
0,19,4675,transcoder,6,19,2562,transcoder,1.826368808746338,0.0,-1.826368808746338,0.0,-1.0,"Node(id=13_2562_19, type=transcoder, layer=6, feature=2562, pos=19)",1
0,19,4675,transcoder,14,55,138,transcoder,5.991324424743652,2.3567562103271484,-3.634568214416504,0.0,-0.6066385254328828,"Node(id=29_138_55, type=transcoder, layer=14, feature=138, pos=55)",1
0,19,4675,transcoder,2,55,7624,lorsa,3.8822731971740723,2.2401201725006104,-1.642153024673462,0.0,-0.4229874976003219,"Node(id=4_7624_55, type=lorsa, layer=2, feature=7624, pos=55)",1
0,19,4675,transcoder,3,19,2651,lorsa,3.13403058052063,1.006697416305542,-2.127333164215088,0.0,-0.6787850691175107,"Node(id=6_2651_19, type=lorsa, layer=3, feature=2651, pos=19)",1
0,19,4675,transcoder,3,19,3024,transcoder,1.101823091506958,0.41383832693099976,-0.6879847645759583,0.0,-0.6244058323691555,"Node(id=7_3024_19, type=transcoder, layer=3, feature=3024, pos=19)",1
0,19,4675,transcoder,14,55,11103,transcoder,0.5930737257003784,0.0,-0.5930737257003784,0.0,-1.0,"Node(id=29_11103_55, type=transcoder, layer=14, feature=11103, pos=55)",1
0,19,4675,transcoder,6,55,7034,transcoder,0.6798377633094788,0.5008381605148315,-0.17899960279464722,0.0,-0.2632975284033497,"Node(id=13_7034_55, type=transcoder, layer=6, feature=7034, pos=55)",1
0,19,4675,transcoder,13,55,12356,transcoder,3.18350887298584,1.8589470386505127,-1.3245618343353271,0.0,-0.41606977934790845,"Node(id=27_12356_55, type=transcoder, layer=13, feature=12356, pos=55)",1
